"","price","bedroom_more_than_2","washroom_more_than_2","size","baseroom","park_size","age","score"
"121",675000,"No less than 3","Less than 3",2990,FALSE,5400,2005,8
"122",280000,"No less than 3","Less than 3",1550,FALSE,4486,2000,7
"123",950000,"No less than 3","Less than 3",3100,FALSE,21303,1962,9
"124",319990,"No less than 3","Less than 3",2120,FALSE,5293,2003,7
"125",207000,"No less than 3","Less than 3",2100,FALSE,19680,1914,6
"126",700000,"No less than 3","Less than 3",2100,FALSE,5000,1916,8
"127",253000,"No less than 3","Less than 3",1490,FALSE,7651,1988,7
"128",552000,"No less than 3","Less than 3",1080,TRUE,5000,1919,6
"129",721000,"Less than 3","Less than 3",920,TRUE,4250,1915,7
"130",349000,"No less than 3","Less than 3",2280,FALSE,4096,2003,7
"131",665000,"No less than 3","Less than 3",3136,FALSE,54450,1910,8
"132",267000,"No less than 3","Less than 3",2495,FALSE,4400,2007,8
"133",552000,"Less than 3","Less than 3",1050,TRUE,5000,1924,7
"134",500000,"No less than 3","No less than 3",2570,FALSE,9104,1930,7
"135",384000,"No less than 3","Less than 3",1140,TRUE,800,2011,8
"136",439950,"No less than 3","Less than 3",1240,TRUE,223377,1950,7
"137",628000,"No less than 3","Less than 3",1140,TRUE,6010,1900,7
"138",719000,"No less than 3","Less than 3",1470,TRUE,3400,1926,7
"139",528000,"Less than 3","Less than 3",1120,TRUE,5100,1925,7
"140",820000,"No less than 3","Less than 3",3540,FALSE,13515,1998,10
"141",324500,"No less than 3","Less than 3",1660,FALSE,3990,2009,7
"142",538888,"No less than 3","Less than 3",2080,FALSE,13189,1987,8
"143",606000,"No less than 3","Less than 3",1070,TRUE,7680,1911,6
"144",175000,"Less than 3","Less than 3",670,FALSE,2378,1919,5
"145",194820,"No less than 3","Less than 3",1100,FALSE,32700,1967,7
"146",477500,"No less than 3","No less than 3",2815,FALSE,5619,2012,9
"147",123000,"Less than 3","Less than 3",1050,FALSE,6600,1964,6
"148",376000,"No less than 3","Less than 3",1540,FALSE,1827,2005,8
"149",970000,"No less than 3","No less than 3",2550,TRUE,9804,2008,9
"150",550000,"No less than 3","Less than 3",1250,TRUE,5750,1947,7
"151",680000,"No less than 3","Less than 3",2850,TRUE,3677,2007,9
"152",230000,"Less than 3","Less than 3",720,FALSE,5913,1920,6
"153",194000,"No less than 3","Less than 3",1400,FALSE,7955,1964,7
"154",652000,"No less than 3","Less than 3",1330,TRUE,5000,1925,7
"155",475000,"No less than 3","Less than 3",2500,FALSE,4500,2010,7
"156",736000,"No less than 3","Less than 3",1540,TRUE,11603,1988,8
"157",325000,"Less than 3","Less than 3",410,FALSE,8636,1953,4
"158",555000,"No less than 3","No less than 3",3640,FALSE,6930,2004,8
"159",546000,"Less than 3","Less than 3",1657,FALSE,5031,1910,7
"160",332544,"Less than 3","Less than 3",1710,FALSE,4187,1987,7
"161",641500,"Less than 3","Less than 3",1000,FALSE,9084,1950,7
"162",700000,"No less than 3","Less than 3",3040,FALSE,7200,2008,9
"163",333000,"No less than 3","Less than 3",1240,FALSE,8936,1954,7
"164",585888,"No less than 3","Less than 3",1490,FALSE,7431,1966,7
"165",305000,"No less than 3","Less than 3",1120,FALSE,10125,1961,6
"166",363000,"Less than 3","Less than 3",770,TRUE,4800,1926,7
"167",342500,"Less than 3","Less than 3",1100,TRUE,826,2008,8
"168",575000,"No less than 3","Less than 3",1140,TRUE,5000,1945,7
"169",750000,"No less than 3","Less than 3",2620,FALSE,43832,2013,8
"170",275000,"No less than 3","Less than 3",1380,FALSE,3500,1971,7
"171",325000,"No less than 3","Less than 3",1270,FALSE,1067,2009,8
"172",470000,"No less than 3","Less than 3",2030,FALSE,12342,1942,7
"173",680000,"No less than 3","Less than 3",970,TRUE,4320,1920,7
"174",350000,"No less than 3","Less than 3",2150,TRUE,13515,1940,8
"175",210000,"No less than 3","Less than 3",1250,FALSE,9484,1969,7
"176",268500,"Less than 3","Less than 3",660,TRUE,1749,1969,8
"177",875909,"No less than 3","Less than 3",3610,FALSE,13292,1996,10
"178",317500,"No less than 3","Less than 3",1360,TRUE,9000,1979,7
"179",760000,"No less than 3","Less than 3",4040,FALSE,147856,2004,9
"180",318000,"No less than 3","Less than 3",1240,FALSE,983,2009,8
"181",1610000,"No less than 3","No less than 3",6085,FALSE,142725,2000,11
"182",243500,"No less than 3","Less than 3",1980,FALSE,7403,1988,7
"183",430000,"No less than 3","Less than 3",1140,TRUE,1310,2004,8
"184",862000,"No less than 3","Less than 3",1310,TRUE,4200,1932,8
"185",230000,"No less than 3","Less than 3",1050,TRUE,4838,1905,5
"186",313500,"No less than 3","Less than 3",1440,FALSE,3488,1983,7
"187",392500,"No less than 3","Less than 3",1100,FALSE,7650,1952,7
"188",402000,"No less than 3","Less than 3",1010,TRUE,7375,1968,7
"189",478000,"No less than 3","Less than 3",1000,TRUE,7107,1980,7
"190",1000000,"No less than 3","Less than 3",1780,FALSE,15648,1918,8
"191",510000,"No less than 3","No less than 3",2740,TRUE,4499,2005,8
"192",229500,"No less than 3","Less than 3",1230,FALSE,6000,1967,7
"193",347000,"No less than 3","Less than 3",1330,FALSE,7848,1978,8
"194",550000,"No less than 3","No less than 3",1200,TRUE,1091,2007,8
"195",595000,"Less than 3","Less than 3",1280,FALSE,8500,1953,7
"196",231000,"No less than 3","Less than 3",1530,FALSE,6375,1942,7
"197",1099500,"No less than 3","Less than 3",1300,TRUE,6000,1950,9
"198",275500,"Less than 3","Less than 3",720,FALSE,11400,1951,6
"199",145000,"No less than 3","Less than 3",1010,FALSE,5490,1954,6
"200",154500,"No less than 3","Less than 3",890,FALSE,9465,1957,6
"201",552500,"No less than 3","Less than 3",1760,TRUE,4025,1907,8
"202",249950,"No less than 3","Less than 3",1450,FALSE,6875,1961,7
"203",335000,"Less than 3","Less than 3",1350,FALSE,2560,1976,8
"204",215000,"No less than 3","Less than 3",1690,FALSE,7700,1969,7
"205",294000,"No less than 3","Less than 3",1400,TRUE,7600,1969,7
"206",1538000,"No less than 3","Less than 3",1710,TRUE,7599,1958,9
"207",446000,"Less than 3","Less than 3",1080,TRUE,1221,2008,8
"208",485000,"No less than 3","Less than 3",2270,FALSE,7887,2004,8
"209",218000,"No less than 3","Less than 3",1020,FALSE,7874,1956,7
"210",239900,"No less than 3","Less than 3",1000,FALSE,7134,1943,6
"211",1780000,"No less than 3","No less than 3",3950,FALSE,10912,2003,10
"212",930000,"No less than 3","No less than 3",5710,FALSE,24663,2007,11
"213",163500,"Less than 3","Less than 3",1050,FALSE,3419,1996,7
"214",690000,"No less than 3","Less than 3",1610,FALSE,5100,1940,8
"215",675000,"No less than 3","Less than 3",1670,TRUE,5188,1940,7
"216",405000,"No less than 3","Less than 3",1250,FALSE,7280,1975,7
"217",960000,"No less than 3","No less than 3",3490,TRUE,9150,1981,10
"218",449228,"No less than 3","Less than 3",1650,TRUE,24750,1965,8
"219",375000,"No less than 3","Less than 3",1790,FALSE,61419,1988,7
"220",253000,"No less than 3","Less than 3",880,FALSE,6600,1945,6
"221",920000,"No less than 3","Less than 3",1570,TRUE,9085,1961,8
"222",632000,"No less than 3","Less than 3",2730,FALSE,7521,1992,9
"223",695000,"No less than 3","No less than 3",1690,TRUE,3600,1927,7
"224",590000,"No less than 3","Less than 3",2240,FALSE,9385,1991,8
"225",329500,"No less than 3","Less than 3",1360,TRUE,22482,1979,7
"226",352450,"No less than 3","Less than 3",1430,FALSE,6000,1945,7
"227",477000,"No less than 3","Less than 3",1350,FALSE,2053,2005,8
"228",210000,"Less than 3","Less than 3",970,FALSE,8874,1968,7
"229",457000,"No less than 3","Less than 3",1500,TRUE,10800,1964,8
"230",1245000,"No less than 3","Less than 3",3370,FALSE,8113,2005,9
"231",452000,"No less than 3","Less than 3",1490,TRUE,14810,1956,8
"232",594000,"No less than 3","Less than 3",2720,FALSE,4613,2005,9
"233",750000,"No less than 3","Less than 3",2540,FALSE,6491,1997,8
"234",395000,"No less than 3","Less than 3",1970,FALSE,37026,1961,8
"235",1130000,"No less than 3","No less than 3",3580,TRUE,8406,1987,11
"236",482000,"No less than 3","Less than 3",1320,TRUE,9600,1978,8
"237",494000,"No less than 3","Less than 3",1250,TRUE,4300,1925,7
"238",419000,"No less than 3","Less than 3",1280,TRUE,10447,1969,8
"239",585000,"No less than 3","Less than 3",920,TRUE,5356,1950,7
"240",480000,"No less than 3","Less than 3",1140,TRUE,4322,1910,7
"241",608000,"No less than 3","Less than 3",1400,TRUE,9714,1983,8
"242",455600,"No less than 3","Less than 3",2420,FALSE,8252,1998,7
"243",330000,"Less than 3","Less than 3",1240,FALSE,1546,2007,7
"244",383000,"No less than 3","Less than 3",1720,FALSE,10031,1993,8
"245",458500,"No less than 3","Less than 3",1430,TRUE,1599,2012,9
"246",226500,"No less than 3","Less than 3",1130,TRUE,10762,1988,7
"247",599000,"No less than 3","Less than 3",2640,FALSE,6738,1989,8
"248",637850,"No less than 3","No less than 3",2500,TRUE,4900,2014,9
"249",515000,"No less than 3","Less than 3",2980,FALSE,12534,1996,9
"250",224950,"No less than 3","Less than 3",1520,TRUE,9686,1965,7
"251",210000,"Less than 3","Less than 3",1100,FALSE,6000,1900,6
"252",760000,"No less than 3","No less than 3",1340,TRUE,10739,1940,7
"253",635000,"No less than 3","Less than 3",2720,FALSE,7991,2006,9
"254",290000,"No less than 3","Less than 3",1620,FALSE,7772,1988,8
"255",1750000,"No less than 3","No less than 3",3020,TRUE,7749,1950,10
"256",380000,"Less than 3","Less than 3",700,FALSE,4836,1926,6
"257",239900,"No less than 3","Less than 3",1120,TRUE,9523,1959,7
"258",122000,"Less than 3","Less than 3",760,FALSE,5280,1946,6
"259",2350000,"No less than 3","Less than 3",3670,TRUE,22863,1907,10
"260",220000,"No less than 3","Less than 3",1180,FALSE,5002,1946,7
"261",265000,"Less than 3","Less than 3",1000,FALSE,31505,1960,6
"262",229000,"No less than 3","Less than 3",1540,FALSE,6000,1953,6
"263",502000,"No less than 3","Less than 3",1600,FALSE,45613,1983,8
"264",399950,"No less than 3","Less than 3",1720,FALSE,8910,1954,7
"265",598555,"No less than 3","Less than 3",3040,FALSE,7880,2004,9
"266",175000,"Less than 3","Less than 3",1050,FALSE,9800,1975,6
"267",450000,"Less than 3","Less than 3",910,FALSE,5000,1914,6
"268",342500,"No less than 3","Less than 3",2080,FALSE,11375,2002,8
"269",325000,"Less than 3","Less than 3",1130,FALSE,5070,1955,7
"270",920000,"No less than 3","Less than 3",2590,FALSE,223027,1983,9
"271",625504,"No less than 3","Less than 3",1060,TRUE,1566,2014,8
"272",725000,"No less than 3","Less than 3",1890,TRUE,20000,1978,9
"273",569950,"No less than 3","No less than 3",3380,FALSE,7805,2014,8
"274",446950,"No less than 3","Less than 3",1360,TRUE,7945,1977,7
"275",391000,"No less than 3","Less than 3",2190,FALSE,3850,2006,7
"276",439000,"No less than 3","Less than 3",1810,TRUE,7904,2006,8
"277",675000,"No less than 3","No less than 3",1880,TRUE,3600,1997,8
"278",1299890,"No less than 3","No less than 3",3870,FALSE,5929,2014,10
"279",768000,"No less than 3","Less than 3",3030,FALSE,13640,1980,8
"280",570000,"No less than 3","Less than 3",3150,FALSE,20189,1990,10
"281",152000,"No less than 3","Less than 3",1090,FALSE,3264,1969,6
"282",775000,"No less than 3","Less than 3",3180,FALSE,15358,1988,9
"283",372500,"No less than 3","Less than 3",1920,FALSE,9660,1968,8
"284",270000,"No less than 3","Less than 3",1550,TRUE,4252,2003,7
"285",855000,"No less than 3","Less than 3",2480,FALSE,36974,1973,9
"286",399000,"No less than 3","Less than 3",2540,TRUE,9292,1979,8
"287",457000,"No less than 3","Less than 3",2820,FALSE,6983,2013,9
"288",280000,"No less than 3","Less than 3",1580,FALSE,7918,1994,7
"289",750000,"No less than 3","No less than 3",2050,TRUE,7020,1984,9
"290",100000,"Less than 3","Less than 3",910,FALSE,22000,1956,6
"291",840000,"No less than 3","Less than 3",3040,FALSE,13559,2003,11
"292",160134,"No less than 3","Less than 3",1190,FALSE,10116,1968,7
"293",235000,"No less than 3","Less than 3",1000,TRUE,9350,1977,7
"294",310000,"No less than 3","Less than 3",2370,FALSE,7320,1989,7
"295",639900,"No less than 3","Less than 3",3380,FALSE,75794,1997,10
"296",440000,"No less than 3","Less than 3",1280,TRUE,10400,1965,7
"297",842500,"No less than 3","Less than 3",2150,TRUE,3996,1910,8
"298",289000,"No less than 3","Less than 3",1961,FALSE,3207,2006,7
"299",412500,"No less than 3","Less than 3",1100,TRUE,7969,1977,7
"300",452000,"No less than 3","Less than 3",2716,FALSE,7850,2014,9
"301",535000,"No less than 3","Less than 3",2290,TRUE,3600,1906,8
"302",355000,"No less than 3","Less than 3",1460,FALSE,7203,1990,7
"303",380000,"No less than 3","Less than 3",1920,FALSE,8775,1953,7
"304",465000,"No less than 3","Less than 3",2870,FALSE,25663,1988,10
"305",405000,"Less than 3","Less than 3",800,FALSE,6016,1942,6
"306",515000,"No less than 3","No less than 3",1420,TRUE,8261,1969,7
"307",343000,"No less than 3","No less than 3",1000,TRUE,1173,2002,8
"308",320000,"No less than 3","Less than 3",910,TRUE,7552,1948,6
"309",210000,"Less than 3","Less than 3",720,FALSE,8040,1943,6
"310",1776000,"No less than 3","No less than 3",3230,FALSE,7800,2005,10
"311",375000,"No less than 3","Less than 3",1330,FALSE,8004,1985,7
"312",199000,"Less than 3","Less than 3",990,TRUE,15120,1932,6
"313",1200000,"Less than 3","Less than 3",2160,FALSE,17861,1956,9
"314",700500,"No less than 3","Less than 3",2560,FALSE,35265,1981,9
"315",275000,"No less than 3","Less than 3",1390,FALSE,48257,1922,6
"316",333000,"No less than 3","Less than 3",1580,FALSE,7800,1906,6
"317",548000,"Less than 3","Less than 3",1170,TRUE,3864,1916,7
"318",990000,"No less than 3","Less than 3",2540,FALSE,5930,2003,9
"319",499000,"Less than 3","Less than 3",2040,FALSE,114562,1968,7
"320",430000,"No less than 3","Less than 3",1400,TRUE,19965,1976,8
"321",490000,"No less than 3","Less than 3",1230,TRUE,7573,1983,7
"322",395000,"Less than 3","Less than 3",870,FALSE,3121,1923,7
"323",171000,"No less than 3","Less than 3",1020,TRUE,19672,1920,6
"324",355000,"No less than 3","Less than 3",980,TRUE,7705,1950,7
"325",434500,"No less than 3","Less than 3",1650,FALSE,7965,1967,7
"326",810000,"No less than 3","Less than 3",3010,FALSE,10450,1996,9
"327",471000,"No less than 3","Less than 3",2010,FALSE,4059,1998,8
"328",372000,"No less than 3","Less than 3",2840,FALSE,6010,2003,8
"329",530000,"Less than 3","Less than 3",760,FALSE,3000,1922,6
"330",240000,"No less than 3","Less than 3",1200,TRUE,6687,1991,7
"331",910000,"No less than 3","Less than 3",2720,FALSE,7250,1990,9
"332",770000,"No less than 3","No less than 3",1750,TRUE,21744,1930,9
"333",335000,"Less than 3","Less than 3",1510,FALSE,3844,1923,7
"334",860000,"No less than 3","No less than 3",3830,FALSE,10005,2001,10
"335",287500,"No less than 3","Less than 3",1220,FALSE,9147,1953,7
"336",402000,"No less than 3","Less than 3",1510,FALSE,9176,1957,7
"337",205950,"No less than 3","Less than 3",1490,FALSE,8239,1963,6
"338",2230000,"No less than 3","No less than 3",2830,TRUE,5634,2014,11
"339",790000,"No less than 3","No less than 3",3500,TRUE,69848,2005,10
"340",265000,"Less than 3","Less than 3",1600,FALSE,7936,1947,7
"341",440000,"No less than 3","Less than 3",1520,TRUE,4929,2007,7
"342",890000,"No less than 3","No less than 3",2320,TRUE,210254,2000,10
"343",309000,"No less than 3","Less than 3",2481,FALSE,4045,2014,8
"344",390000,"No less than 3","No less than 3",1310,TRUE,5000,2006,7
"345",625000,"No less than 3","Less than 3",1350,TRUE,12558,1984,7
"346",200000,"Less than 3","Less than 3",1010,FALSE,7200,1956,6
"347",320000,"No less than 3","Less than 3",2110,FALSE,6295,2000,8
"348",372000,"No less than 3","Less than 3",2298,FALSE,10140,1969,7
"349",280000,"No less than 3","Less than 3",1180,TRUE,14439,1977,7
"350",330000,"No less than 3","No less than 3",1250,TRUE,7715,2013,7
"351",820000,"No less than 3","Less than 3",2920,FALSE,252648,2002,10
"352",342000,"Less than 3","Less than 3",1320,FALSE,1462,1997,7
"353",340000,"No less than 3","Less than 3",1750,FALSE,8220,1956,7
"354",580000,"No less than 3","Less than 3",1200,TRUE,3960,1905,8
"355",345000,"Less than 3","Less than 3",860,FALSE,8250,1940,7
"356",606000,"No less than 3","Less than 3",2110,FALSE,13850,1987,9
"357",399000,"No less than 3","Less than 3",2480,FALSE,4334,2012,8
"358",529500,"No less than 3","Less than 3",1410,FALSE,905,2014,9
"359",355000,"No less than 3","Less than 3",860,TRUE,7740,1948,6
"360",235000,"Less than 3","Less than 3",830,FALSE,9000,1939,6
"361",210000,"Less than 3","Less than 3",750,FALSE,34133,1950,6
"362",335000,"No less than 3","Less than 3",1230,TRUE,8298,1952,7
"363",308000,"No less than 3","Less than 3",2020,FALSE,7277,1993,8
"364",250200,"No less than 3","Less than 3",1180,FALSE,7384,1959,7
"365",299500,"No less than 3","Less than 3",1230,TRUE,34500,1980,8
"366",525000,"No less than 3","No less than 3",1710,TRUE,7440,1947,7
"367",532000,"No less than 3","Less than 3",1430,TRUE,7029,1979,7
"368",525000,"No less than 3","Less than 3",2700,FALSE,7434,1991,9
"369",149000,"No less than 3","Less than 3",1700,FALSE,8645,1955,6
"370",1795000,"No less than 3","No less than 3",4010,TRUE,17232,1977,10
"371",519900,"No less than 3","Less than 3",2403,FALSE,6172,1999,9
"372",405000,"Less than 3","Less than 3",720,FALSE,4323,1942,6
"373",349950,"No less than 3","Less than 3",2000,FALSE,5006,2005,7
"374",570000,"No less than 3","Less than 3",1390,TRUE,3330,1901,7
"375",555000,"No less than 3","Less than 3",2240,FALSE,11250,1968,8
"376",590000,"No less than 3","No less than 3",1680,TRUE,5079,2007,8
"377",560000,"No less than 3","No less than 3",1200,TRUE,1786,2007,8
"378",175000,"No less than 3","Less than 3",1030,FALSE,6600,1954,7
"379",1045000,"No less than 3","No less than 3",1880,TRUE,3600,1905,8
"380",265000,"No less than 3","Less than 3",1900,FALSE,10588,1958,6
"381",285000,"No less than 3","Less than 3",1320,FALSE,955,2009,7
"382",515000,"No less than 3","Less than 3",1500,TRUE,14810,1977,8
"383",495000,"No less than 3","Less than 3",2790,TRUE,8547,2007,9
"384",565000,"No less than 3","Less than 3",1520,FALSE,1221,2013,8
"385",360000,"No less than 3","Less than 3",980,TRUE,8846,1940,6
"386",685000,"No less than 3","Less than 3",2810,FALSE,7700,2001,9
"387",239950,"No less than 3","Less than 3",1440,FALSE,7200,1986,7
"388",2500000,"No less than 3","No less than 3",4300,FALSE,19844,1985,11
"389",290000,"Less than 3","Less than 3",1240,FALSE,4800,1910,6
"390",960000,"No less than 3","Less than 3",1730,FALSE,4102,1996,8
"391",304400,"No less than 3","Less than 3",2140,FALSE,8100,1990,7
"392",325000,"No less than 3","Less than 3",2780,FALSE,13950,1955,7
"393",300000,"No less than 3","Less than 3",1220,FALSE,13000,1955,7
"394",630000,"No less than 3","Less than 3",2460,FALSE,38794,1999,9
"395",565000,"No less than 3","No less than 3",1800,TRUE,20790,1965,7
"396",285000,"No less than 3","Less than 3",1996,FALSE,4547,2009,7
"397",495000,"Less than 3","Less than 3",970,FALSE,4284,1905,7
"398",261000,"No less than 3","Less than 3",1190,TRUE,10488,1961,7
