销售价格,卧室数,浴室数,房屋面积,停车面积,楼层数,房屋评分,建筑面积,地下室面积,2014-建筑年份,建筑年份
274000,3,1.5,1450,4694,2,7,1450,0,3,2011
319000,4,3.25,2360,8344,2,8,2360,0,24,1990
482500,3,2.5,1690,3068,2,7,1690,0,9,2005
734000,4,2.75,3090,7650,2,8,2340,750,55,1959
650000,3,2.5,3060,7831,2,9,3060,0,10,2004
760000,4,2.5,3520,8095,2,9,3520,0,8,2006
818000,3,3.25,2200,4800,2,7,1910,290,71,1943
425000,2,1,910,4635,1,6,910,0,109,1905
345000,5,2.5,2450,6994,2,8,2450,0,12,2002
460000,3,2.5,1690,5131,1,7,1690,0,73,1941
965000,4,3.25,5010,49222,2,9,3710,1300,36,1978
400000,3,1.5,1330,9900,1,7,1330,0,58,1956
933000,3,1.5,1870,3300,2,7,1870,0,108,1906
411800,4,2.25,2190,6800,1,7,1340,850,45,1969
475000,4,2.25,1800,7200,1,7,1230,570,35,1979
630000,4,2.5,2740,43101,2,9,2740,0,21,1993
450000,3,1,1350,92721,1,6,1200,150,68,1946
675000,4,2.5,2990,5400,2,8,2990,0,9,2005
280000,3,2.5,1550,4486,2,7,1550,0,14,2000
950000,4,1.75,3100,21303,1,9,3100,0,52,1962
319990,4,2.5,2120,5293,2,7,2120,0,11,2003
207000,4,2.5,2100,19680,1.5,6,2100,0,100,1914
700000,3,1.75,2100,5000,1.5,8,2100,0,98,1916
253000,3,2,1490,7651,1,7,1490,0,26,1988
552000,3,1,1430,5000,1,6,1080,350,95,1919
721000,2,1.5,1790,4250,1,7,920,870,99,1915
349000,4,2.5,2280,4096,2,7,2280,0,11,2003
665000,3,2.5,3136,54450,1.5,8,3136,0,104,1910
267000,3,2.5,2495,4400,2,8,2495,0,7,2007
552000,2,1,1150,5000,1,7,1050,100,90,1924
500000,4,3,2570,9104,2,7,2570,0,84,1930
384000,3,2.25,1430,800,2,8,1140,290,3,2011
439950,3,1.75,1720,223377,1,7,1240,480,64,1950
628000,4,2,2280,6010,1,7,1140,1140,114,1900
719000,4,2.75,2210,3400,1.5,7,1470,740,88,1926
528000,2,1,1260,5100,1.5,7,1120,140,89,1925
820000,4,2.75,3540,13515,2,10,3540,0,16,1998
324500,3,2.5,1660,3990,2,7,1660,0,5,2009
538888,5,2.75,2080,13189,2,8,2080,0,27,1987
606000,3,2,1980,7680,1.5,6,1070,910,103,1911
175000,2,1,670,2378,1,5,670,0,95,1919
194820,3,1.5,1100,32700,1,7,1100,0,47,1967
477500,5,3.5,2815,5619,2,9,2815,0,2,2012
123000,2,1,1050,6600,1.5,6,1050,0,50,1964
376000,3,2,1540,1827,2,8,1540,0,9,2005
970000,5,3.5,3400,9804,2,9,2550,850,6,2008
550000,3,1.5,1730,5750,1,7,1250,480,67,1947
680000,4,2.5,3490,3677,2,9,2850,640,7,2007
230000,2,1,720,5913,1,6,720,0,94,1920
194000,3,1,1400,7955,1,7,1400,0,50,1964
652000,3,2,2130,5000,1.5,7,1330,800,89,1925
475000,4,2.5,2500,4500,2,7,2500,0,4,2010
736000,3,2.25,2470,11603,2,8,1540,930,26,1988
325000,1,0.75,410,8636,1,4,410,0,61,1953
555000,5,3,3640,6930,2,8,3640,0,10,2004
546000,2,1,1657,5031,2,7,1657,0,104,1910
332544,2,1.75,1710,4187,1,7,1710,0,27,1987
641500,1,1,1000,9084,1,7,1000,0,64,1950
700000,4,2.5,3040,7200,2,9,3040,0,6,2008
333000,5,1.75,1240,8936,1,7,1240,0,60,1954
585888,3,2,1490,7431,1,7,1490,0,48,1966
305000,3,1,1120,10125,1,6,1120,0,53,1961
363000,2,1,1120,4800,1,7,770,350,88,1926
342500,2,1.5,1320,826,2,8,1100,220,6,2008
575000,3,2,1520,5000,1.5,7,1140,380,69,1945
750000,3,2.5,2620,43832,2,8,2620,0,1,2013
275000,3,2,1380,3500,2,7,1380,0,43,1971
325000,3,1.5,1270,1067,3,8,1270,0,5,2009
470000,5,1.75,2030,12342,2,7,2030,0,72,1942
680000,3,1.75,1870,4320,1,7,970,900,94,1920
350000,4,1.75,2250,13515,1,8,2150,100,74,1940
210000,3,1.5,1250,9484,1,7,1250,0,45,1969
268500,2,1.5,1290,1749,1,8,660,630,45,1969
875909,4,2.5,3610,13292,2,10,3610,0,18,1996
317500,4,2.5,2150,9000,1,7,1360,790,35,1979
760000,3,2.5,4040,147856,2,9,4040,0,10,2004
318000,3,1.5,1240,983,3,8,1240,0,5,2009
1610000,5,4.5,6085,142725,3,11,6085,0,14,2000
243500,4,2.5,1980,7403,2,7,1980,0,26,1988
430000,3,2.5,1690,1310,2,8,1140,550,10,2004
862000,4,2.25,2220,4200,1.5,8,1310,910,82,1932
230000,6,1.5,1810,4838,1.5,5,1050,760,109,1905
313500,3,2.25,1440,3488,2,7,1440,0,31,1983
392500,3,1,1100,7650,1,7,1100,0,62,1952
402000,3,1.5,1450,7375,1,7,1010,440,46,1968
478000,3,1,1440,7107,1,7,1000,440,34,1980
1000000,4,2,1780,15648,1.5,8,1780,0,96,1918
510000,5,3.25,3400,4499,2,8,2740,660,9,2005
229500,3,1,1230,6000,1,7,1230,0,47,1967
347000,3,1.75,1330,7848,1,8,1330,0,36,1978
550000,3,3.5,1450,1091,2,8,1200,250,7,2007
595000,2,1.75,1280,8500,1,7,1280,0,61,1953
231000,4,2,1530,6375,2,7,1530,0,72,1942
1099500,4,2,2580,6000,1,9,1300,1280,64,1950
275500,2,1,720,11400,1,6,720,0,63,1951
145000,3,1,1010,5490,1,6,1010,0,60,1954
154500,3,1,890,9465,1,6,890,0,57,1957
552500,3,2.25,2700,4025,2,8,1760,940,107,1907
249950,3,1.5,1450,6875,1,7,1450,0,53,1961
335000,2,2,1350,2560,1,8,1350,0,38,1976
215000,3,1,1690,7700,1,7,1690,0,45,1969
294000,5,2.75,2300,7600,1,7,1400,900,45,1969
1538000,3,2.25,2880,7599,1,9,1710,1170,56,1958
446000,2,1.5,1370,1221,2,8,1080,290,6,2008
485000,3,2.5,2270,7887,2,8,2270,0,10,2004
218000,3,1,1020,7874,1,7,1020,0,58,1956
239900,4,1,1000,7134,1,6,1000,0,71,1943
1780000,4,3.25,3950,10912,2,10,3950,0,11,2003
930000,4,4.25,5710,24663,2,11,5710,0,7,2007
163500,2,1.5,1050,3419,2,7,1050,0,18,1996
690000,3,2,1610,5100,1.5,8,1610,0,74,1940
675000,4,2,1890,5188,1.5,7,1670,220,74,1940
405000,3,1,1250,7280,1,7,1250,0,39,1975
960000,4,3,4590,9150,2,10,3490,1100,33,1981
449228,5,2.5,3020,24750,1,8,1650,1370,49,1965
375000,4,2,1790,61419,2,7,1790,0,26,1988
253000,3,1.5,880,6600,1,6,880,0,69,1945
920000,4,2.75,3140,9085,1,8,1570,1570,53,1961
632000,3,2.25,2730,7521,2,9,2730,0,22,1992
695000,3,3.75,2380,3600,1.5,7,1690,690,87,1927
590000,4,2.5,2240,9385,2,8,2240,0,23,1991
329500,3,2.5,2120,22482,1,7,1360,760,35,1979
352450,3,2,1430,6000,1,7,1430,0,69,1945
477000,3,2.5,1350,2053,3,8,1350,0,9,2005
210000,2,1,970,8874,1,7,970,0,46,1968
457000,4,2.5,2200,10800,1,8,1500,700,50,1964
1245000,5,2.5,3370,8113,2,9,3370,0,9,2005
452000,3,2.25,2600,14810,1,8,1490,1110,58,1956
594000,4,2.75,2720,4613,2,9,2720,0,9,2005
750000,4,2.5,2540,6491,2,8,2540,0,17,1997
395000,4,2.75,1970,37026,1,8,1970,0,53,1961
1130000,4,3.5,4300,8406,2,11,3580,720,27,1987
482000,5,2.25,2230,9600,1,8,1320,910,36,1978
494000,4,1.75,2090,4300,1.5,7,1250,840,89,1925
419000,4,2,2180,10447,1,8,1280,900,45,1969
585000,4,1.75,1760,5356,1,7,920,840,64,1950
480000,4,1.75,2320,4322,1,7,1140,1180,104,1910
608000,4,2.75,2490,9714,1,8,1400,1090,31,1983
455600,3,2.5,2420,8252,2,7,2420,0,16,1998
330000,2,2.5,1240,1546,2,7,1240,0,7,2007
383000,3,2.5,1720,10031,2,8,1720,0,21,1993
458500,3,2,1890,1599,2,9,1430,460,2,2012
226500,3,1.75,1640,10762,1,7,1130,510,26,1988
599000,4,2.5,2640,6738,2,8,2640,0,25,1989
637850,5,3.25,3340,4900,2,9,2500,840,0,2014
515000,4,2.5,2980,12534,2,9,2980,0,18,1996
224950,4,2.5,2260,9686,1,7,1520,740,49,1965
210000,2,1,1100,6000,1.5,6,1100,0,114,1900
760000,3,3.5,2350,10739,1,7,1340,1010,74,1940
635000,4,2.5,2720,7991,2,9,2720,0,8,2006
290000,3,2.25,1620,7772,2,8,1620,0,26,1988
1750000,4,3.25,3460,7749,2,10,3020,440,64,1950
380000,2,1,700,4836,1,6,700,0,88,1926
239900,4,1.75,1480,9523,1,7,1120,360,55,1959
122000,2,1,760,5280,1,6,760,0,68,1946
2350000,4,2.25,4370,22863,2.5,10,3670,700,107,1907
220000,3,1,1180,5002,1.5,7,1180,0,68,1946
265000,2,1,1000,31505,1,6,1000,0,54,1960
229000,3,2,1540,6000,1,6,1540,0,61,1953
502000,3,2.25,1600,45613,2,8,1600,0,31,1983
399950,3,1,1720,8910,1,7,1720,0,60,1954
598555,3,2.5,3040,7880,2,9,3040,0,10,2004
175000,2,1.75,1050,9800,1.5,6,1050,0,39,1975
450000,2,1,910,5000,1,6,910,0,100,1914
342500,3,2,2080,11375,1,8,2080,0,12,2002
325000,2,1,1130,5070,1,7,1130,0,59,1955
920000,3,2.75,2590,223027,2,9,2590,0,31,1983
625504,3,2.25,1270,1566,2,8,1060,210,0,2014
725000,5,2.5,3780,20000,1,9,1890,1890,36,1978
569950,5,4.25,3380,7805,2,8,3380,0,0,2014
446950,5,2.5,2250,7945,1,7,1360,890,37,1977
391000,4,2.25,2190,3850,2,7,2190,0,8,2006
439000,3,2.5,3180,7904,1,8,1810,1370,8,2006
675000,4,3.5,2550,3600,2,8,1880,670,17,1997
1299890,5,4,3870,5929,2,10,3870,0,0,2014
768000,5,2.75,3030,13640,2,8,3030,0,34,1980
570000,3,2.5,3150,20189,2,10,3150,0,24,1990
152000,3,1,1090,3264,1,6,1090,0,45,1969
775000,4,2.5,3180,15358,2,9,3180,0,26,1988
372500,4,2.25,1920,9660,1,8,1920,0,46,1968
270000,3,2.25,2080,4252,1.5,7,1550,530,11,2003
855000,4,2.25,2480,36974,2,9,2480,0,41,1973
399000,4,2.5,2870,9292,2,8,2540,330,35,1979
457000,4,2.5,2820,6983,2,9,2820,0,1,2013
280000,3,2.5,1580,7918,2,7,1580,0,20,1994
750000,4,3.5,3050,7020,2,9,2050,1000,30,1984
100000,2,1,910,22000,1,6,910,0,58,1956
840000,4,2.75,3040,13559,2,11,3040,0,11,2003
160134,3,1.5,1190,10116,1,7,1190,0,46,1968
235000,4,1.75,1920,9350,1,7,1000,920,37,1977
310000,4,2.75,2370,7320,2,7,2370,0,25,1989
639900,4,2.5,3380,75794,2,10,3380,0,17,1997
440000,4,2.5,2560,10400,1,7,1280,1280,49,1965
842500,3,2.25,2560,3996,1.5,8,2150,410,104,1910
289000,4,2.5,1961,3207,2,7,1961,0,8,2006
412500,4,2.25,1630,7969,1,7,1100,530,37,1977
452000,4,2.5,2716,7850,2,9,2716,0,0,2014
535000,3,2.75,2490,3600,2,8,2290,200,108,1906
355000,3,1.75,1460,7203,1,7,1460,0,24,1990
380000,3,1.75,1920,8775,1,7,1920,0,61,1953
465000,3,2.5,2870,25663,2,10,2870,0,26,1988
405000,2,1,800,6016,1,6,800,0,72,1942
515000,4,3,1820,8261,1,7,1420,400,45,1969
343000,3,3.25,1210,1173,2,8,1000,210,12,2002
320000,3,1,1560,7552,1,6,910,650,66,1948
210000,2,1,720,8040,1,6,720,0,71,1943
1776000,3,3.25,3230,7800,2,10,3230,0,9,2005
375000,3,2.25,1330,8004,2,7,1330,0,29,1985
199000,2,1,1140,15120,1,6,990,150,82,1932
1200000,2,2.25,2160,17861,2,9,2160,0,58,1956
700500,3,2.5,2560,35265,2,9,2560,0,33,1981
275000,3,1.5,1390,48257,1,6,1390,0,92,1922
333000,4,2,1580,7800,2,6,1580,0,108,1906
548000,2,1,1470,3864,1,7,1170,300,98,1916
990000,4,2.5,2540,5930,2,9,2540,0,11,2003
499000,2,1.75,2040,114562,1,7,2040,0,46,1968
430000,3,2.25,1830,19965,1,8,1400,430,38,1976
490000,3,2.25,1630,7573,1,7,1230,400,31,1983
395000,2,1,870,3121,1,7,870,0,91,1923
171000,4,2,1520,19672,1,6,1020,500,94,1920
355000,3,1.75,1960,7705,1,7,980,980,64,1950
434500,3,1.75,1650,7965,1,7,1650,0,47,1967
810000,4,2.75,3010,10450,2,9,3010,0,18,1996
471000,3,2.5,2010,4059,2,8,2010,0,16,1998
372000,5,2.5,2840,6010,2,8,2840,0,11,2003
530000,2,1,760,3000,1,6,760,0,92,1922
240000,3,1.75,1540,6687,1,7,1200,340,23,1991
910000,3,2.5,2720,7250,2,9,2720,0,24,1990
770000,3,3.5,2050,21744,2,9,1750,300,84,1930
335000,2,1,1510,3844,1,7,1510,0,91,1923
860000,4,3.25,3830,10005,2,10,3830,0,13,2001
287500,4,2,1220,9147,1,7,1220,0,61,1953
402000,4,1.75,1510,9176,1,7,1510,0,57,1957
205950,3,1,1490,8239,1,6,1490,0,51,1963
2230000,3,3.5,3760,5634,2,11,2830,930,0,2014
790000,4,3,5370,69848,2,10,3500,1870,9,2005
265000,2,1,1600,7936,1,7,1600,0,67,1947
440000,3,2.5,1650,4929,2,7,1520,130,7,2007
890000,4,3.25,4360,210254,1,10,2320,2040,14,2000
309000,5,2.75,2481,4045,2,8,2481,0,0,2014
390000,5,3.75,2890,5000,1,7,1310,1580,8,2006
625000,3,1.75,2060,12558,1,7,1350,710,30,1984
200000,2,1,1010,7200,1,6,1010,0,58,1956
320000,4,2.5,2110,6295,2,8,2110,0,14,2000
372000,3,1,2298,10140,1,7,2298,0,45,1969
280000,4,2,2190,14439,1,7,1180,1010,37,1977
330000,5,3,2100,7715,1,7,1250,850,1,2013
820000,4,2.5,2920,252648,2,10,2920,0,12,2002
342000,2,2,1320,1462,3,7,1320,0,17,1997
340000,5,2,1750,8220,1,7,1750,0,58,1956
580000,3,2.25,1900,3960,1.5,8,1200,700,109,1905
345000,2,1,860,8250,1,7,860,0,74,1940
606000,4,2.5,2110,13850,2,9,2110,0,27,1987
399000,4,2.5,2480,4334,2,8,2480,0,2,2012
529500,3,2.25,1410,905,3,9,1410,0,0,2014
355000,3,1.75,1120,7740,1,6,860,260,66,1948
235000,2,1,830,9000,1,6,830,0,75,1939
210000,2,1,750,34133,1,6,750,0,64,1950
335000,3,1.75,2100,8298,1,7,1230,870,62,1952
308000,4,2.5,2020,7277,2,8,2020,0,21,1993
250200,3,1.5,1180,7384,1,7,1180,0,55,1959
299500,3,1.75,1810,34500,1,8,1230,580,34,1980
525000,3,3.25,2200,7440,2,7,1710,490,67,1947
532000,4,1.75,2020,7029,1,7,1430,590,35,1979
525000,3,2.5,2700,7434,2,9,2700,0,23,1991
149000,3,1,1700,8645,1,6,1700,0,59,1955
1795000,5,3.25,5270,17232,2,10,4010,1260,37,1977
519900,4,2.5,2403,6172,2,9,2403,0,15,1999
405000,2,1,720,4323,1,6,720,0,72,1942
349950,4,2.5,2000,5006,2,7,2000,0,9,2005
570000,3,1,1890,3330,1.5,7,1390,500,113,1901
555000,3,2,2240,11250,1,8,2240,0,46,1968
590000,3,3.5,1970,5079,2,8,1680,290,7,2007
560000,3,3.25,1530,1786,2,8,1200,330,7,2007
175000,3,1,1030,6600,1,7,1030,0,60,1954
1045000,4,3,2790,3600,2,8,1880,910,109,1905
265000,4,1.75,1900,10588,1,6,1900,0,56,1958
285000,3,2.5,1320,955,3,7,1320,0,5,2009
515000,4,2.5,2280,14810,1,8,1500,780,37,1977
495000,4,2.5,4060,8547,2,9,2790,1270,7,2007
565000,3,2.25,1520,1221,3,8,1520,0,1,2013
360000,3,2,1960,8846,1,6,980,980,74,1940
685000,3,2.5,2810,7700,2,9,2810,0,13,2001
239950,3,1.75,1440,7200,1,7,1440,0,28,1986
2500000,4,4.5,4300,19844,2,11,4300,0,29,1985
290000,1,2,1240,4800,2,6,1240,0,104,1910
960000,3,2.5,1730,4102,3,8,1730,0,18,1996
304400,4,2.75,2140,8100,2,7,2140,0,24,1990
325000,6,2,2780,13950,2.5,7,2780,0,59,1955
300000,3,1,1220,13000,1,7,1220,0,59,1955
630000,3,2.5,2460,38794,2,9,2460,0,15,1999
565000,5,3.25,2860,20790,1,7,1800,1060,49,1965
285000,4,2.5,1996,4547,2,7,1996,0,5,2009
495000,2,1,970,4284,1,7,970,0,109,1905
261000,4,1.5,2040,10488,1,7,1190,850,53,1961
320000,4,2.75,1640,3000,1,7,1000,640,30,1984
444500,3,2.5,2600,4724,2,7,2600,0,12,2002
230000,4,1.5,1050,9516,1,7,1050,0,45,1969
461100,2,2.25,1210,1267,2,8,1120,90,4,2010
332888,2,2.5,1050,1029,2,8,950,100,7,2007
1225000,3,3.5,3680,11491,2,11,3680,0,15,1999
380000,3,1.75,1750,10870,1,7,1750,0,46,1968
426000,2,2.5,1550,2657,2,8,1550,0,27,1987
373000,3,2,1400,2445,1,7,840,560,12,2002
455000,4,2.5,2210,49375,1,8,2210,0,17,1997
202000,2,1,670,7844,1,6,670,0,72,1942
540000,3,2.5,1720,11656,2,8,1720,0,27,1987
354000,3,1.75,1340,6300,1,7,1340,0,42,1972
410000,2,1,800,4342,1,6,670,130,87,1927
200000,2,1,1250,8520,1,6,1250,0,86,1928
700000,2,1,1160,17635,1,6,1160,0,69,1945
374950,3,2.5,2540,11562,1,8,1290,1250,50,1964
665000,5,2,2800,17788,1,8,1400,1400,51,1963
355000,2,1.75,1760,4600,1,7,850,910,88,1926
345000,3,1,1060,5600,1,6,760,300,71,1943
1298890,5,2.25,2690,10800,1,8,2020,670,58,1956
718000,3,1,1030,4958,1,7,1030,0,62,1952
245000,4,2,1870,8750,1,7,1870,0,37,1977
680000,5,3,2970,6500,2,9,2970,0,14,2000
408000,3,2.75,2670,4800,2,8,2670,0,0,2014
355000,5,2.75,2530,9375,1,7,1530,1000,48,1966
240000,3,1,1230,2353,1.5,6,1230,0,89,1925
515000,3,2.25,1920,11500,1,8,1920,0,42,1972
570000,4,1.75,1860,7700,1,8,1860,0,50,1964
310000,2,1,720,5750,1,6,720,0,71,1943
739888,3,2.5,2420,43177,2,8,1690,730,25,1989
213000,2,1,750,6089,1,6,750,0,77,1937
649000,3,3.25,1720,936,2,8,1030,690,10,2004
328000,3,2,2250,7904,1.5,8,2250,0,16,1998
429500,3,2.75,1650,7272,1,7,1230,420,42,1972
505000,4,2.5,2790,5602,2,8,2790,0,5,2009
729000,3,4.25,3300,308080,2,9,2520,780,38,1976
450000,3,3.25,1770,1863,2,8,1430,340,11,2003
475000,2,2.5,1620,14467,2,7,1620,0,33,1981
1610000,4,2.75,4270,25807,2,11,4270,0,18,1996
1225000,4,2.25,2020,5800,1,9,1760,260,73,1941
250800,3,1.75,1290,4000,1,6,1170,120,71,1943
511000,5,2.5,3361,6983,2,10,3361,0,8,2006
969000,4,2,2450,5000,2,8,2200,250,95,1919
315000,3,2.5,1410,1325,2,7,1180,230,7,2007
291375,4,2.5,2220,6233,2,7,2220,0,13,2001
398096,3,2.5,2370,5321,2,8,2370,0,0,2014
243500,4,2.5,2300,15188,2,7,2300,0,48,1966
470000,4,2.5,2320,12042,1,7,1320,1000,39,1975
611000,4,2.5,2460,4200,2,8,2460,0,16,1998
880000,4,3.25,4060,52707,2,9,4060,0,18,1996
305000,5,2.5,2500,12220,1,8,1690,810,52,1962
525000,3,1,1550,6840,1.5,7,1550,0,96,1918
542000,3,2.5,1990,15985,1,8,1540,450,50,1964
3400000,3,4.5,5230,17826,2,10,3740,1490,9,2005
375000,3,1.75,1590,14766,1,8,1590,0,51,1963
730000,3,2.5,1860,1290,2,9,1240,620,4,2010
762400,3,1.75,2430,14607,1,8,1230,1200,65,1949
499431,4,2.75,2620,6019,2,8,2620,0,1,2013
565000,4,2.5,2330,7936,2,9,2330,0,27,1987
212000,4,1.75,1250,12705,1,7,1250,0,43,1971
324000,3,2.5,1750,7208,2,8,1750,0,20,1994
898000,5,1.5,2680,28014,1,8,1450,1230,51,1963
410000,3,1.75,1440,8560,1,7,1440,0,35,1979
781000,3,2.5,1920,1896,3,8,1920,0,14,2000
530000,3,2.5,1790,3078,2,8,1790,0,4,2010
561600,4,2.5,2350,6624,2,9,2350,0,24,1990
375000,4,1.75,1870,12500,1,6,1030,840,71,1943
355000,3,1.5,1240,15867,1,7,1240,0,52,1962
521000,3,1.75,1730,18250,1,8,1730,0,26,1988
206000,3,1,1320,9239,1,7,1320,0,46,1968
298900,3,2.5,1830,6162,2,8,1830,0,20,1994
458000,5,2.5,3090,23265,1,8,2990,100,57,1957
449000,3,1.75,1660,9697,1,7,1660,0,62,1952
469000,3,1.75,1680,2400,1.5,7,1170,510,85,1929
725000,5,2.75,2830,5310,2,9,2830,0,8,2006
558000,3,2.25,2220,15757,1,8,1280,940,32,1982
1190000,3,3.5,3380,3333,3,10,2800,580,6,2008
325000,4,2.5,2160,6825,2,8,2160,0,20,1994
875000,3,2,2350,6000,1.5,8,1990,360,92,1922
267500,3,1.75,1650,7807,1,7,1650,0,28,1986
906000,3,2.5,2030,1800,3,9,2030,0,1,2013
360000,2,1,2320,11250,2,6,2320,0,72,1942
514000,3,1.75,1720,5899,1,8,1220,500,28,1986
234000,4,2,1710,7455,1,7,1030,680,39,1975
200000,3,1,930,7590,1,6,820,110,71,1943
299950,3,2.5,1780,4650,2,7,1780,0,3,2011
500000,4,2,1700,8640,1,7,850,850,59,1955
